Customer Name,Sales,Profit,Orders
Aaron Bergman,886.156,129.3465,3
Aaron Hawkins,1744.7,365.2152,7
Aaron Smayling,3050.692,-253.57459999999998,7
Adam Bellavance,7755.62,2054.5885,8
Adam Hart,3250.337,281.189,10
Adam Shillingsburg,3255.31,64.53739999999998,9
Adrian Barton,14473.570999999998,5444.8055,10
Adrian Hane,1735.5140000000001,-2.3145999999999773,7
Adrian Shami,58.82,21.8496,2
Aimee Bixby,966.71,313.6597,5
Alan Barnes,1113.838,220.813,8
Alan Dominguez,6106.88,1869.9294,8
Alan Haines,1587.452,-378.5509,4
Alan Hwang,4805.344,1308.5546,9
Alan Schoenberger,4260.784,719.7751000000001,5
Alan Shonely,584.6080000000001,33.715799999999994,7
Alejandro Ballentine,914.5319999999999,264.5675,9
Alejandro Grove,2582.898,732.7399,5
Alejandro Savely,3214.236,354.62760000000003,6
Aleksandra Gannaway,367.548,59.288399999999996,4
Alex Avila,5563.56,-362.8825,5
Alex Grayson,660.972,-5.137100000000006,5
Alex Russell,1055.694,-221.0544,4
Alice McCarthy,814.012,194.9878,5
Allen Armold,1056.39,277.3824,9
Allen Goldenen,200.945,69.2784,5
Allen Rosenblatt,2236.128,-98.7646,5
Alyssa Crouse,925.8,-62.1342,3
Alyssa Tate,1171.814,100.87680000000002,6
Amy Cox,5527.846,1366.0098,7
Amy Hunt,2495.3916,-196.12009999999998,5
Andrew Allen,1790.5120000000002,435.8274,4
Andrew Gjertsen,2356.855,295.6668,8
Andrew Roberts,264.86400000000003,43.6695,5
Andy Gerbode,1455.038,-152.7613,4
Andy Reiter,6608.448,2884.6208,6
Andy Yotov,497.014,103.3499,4
Anemone Ratner,88.15,32.633,1
Angele Hood,738.504,83.96300000000001,4
Ann Blume,1515.862,-274.9604,4
Ann Chong,2537.6859999999997,298.8273,5
Ann Steele,833.398,136.49190000000002,7
Anna Andreadi,5086.9349999999995,857.8033,6
Anna Chung,657.316,-28.700399999999995,5
Anna Gayman,3489.0396000000005,-246.42570000000003,7
Anna Häberlin,7888.294,1298.0166,12
Anne McFarland,5664.022,1085.7326,8
Anne Pryor,1638.554,285.7888,8
Annie Thurman,3831.864,974.107,10
Annie Zypern,1622.0179999999998,154.9503,6
Anthony Garverick,170.584,-8.431000000000001,4
Anthony Jacobs,4867.344,150.71300000000005,7
Anthony Johnson,4501.391,1158.7064,7
Anthony O'Donnell,161.28,12.096,1
Anthony Rawles,4523.336,494.83519999999993,8
Anthony Witt,649.376,65.77250000000001,4
Arianne Irving,4375.786,867.7271000000001,10
Art Ferguson,2052.908,317.9712,7
Art Foster,861.565,-163.1175,4
Arthur Gainer,4510.797,343.6824,10
Arthur Prichep,3323.556,579.3113,10
Arthur Wiediger,2852.968,-104.5486,7
Ashley Jarboe,1839.24,521.1351999999999,7
Astrea Jones,629.2479999999999,60.4265,3
Barbara Fisher,599.798,227.4384,7
Barry Blumstein,744.3399999999999,11.583900000000007,5
Barry Franz,1333.88,-291.38109999999995,4
Barry Französisch,2888.506,302.02,8
Barry Gonzalez,2798.948,-711.4274,8
Barry Pond,983.42,209.78300000000002,5
Barry Weirich,385.516,-58.28659999999999,3
Bart Folk,272.95,110.9272,3
Bart Pistole,2442.044,433.9751,12
Bart Watters,4750.358,921.2574,8
Becky Castell,2933.676,251.5974,9
Becky Martin,11789.63,-1659.9580999999998,4
Becky Pak,1697.8609999999999,647.3847000000001,6
Ben Ferrer,5907.972,1538.2127,11
Ben Peterman,3675.861,363.5991,9
Ben Wallace,1738.406,246.9973,6
Benjamin Farhat,1585.162,523.2133,4
Benjamin Patterson,1181.49,-197.2695,5
Benjamin Venier,1523.2730000000001,315.2214,5
Berenike Kampe,659.1379999999999,-63.764399999999995,6
Beth Fritzler,791.9899999999999,25.870199999999997,3
Beth Paige,2475.157,-319.0637,7
Beth Thompson,2567.656,417.5918,5
Bill Donatelli,5718.521,1094.5037,12
Bill Eplett,4204.676,1487.7739000000001,5
Bill Overfelt,2682.728,278.77700000000004,5
Bill Shonely,10501.653,2616.0643999999998,5
Bill Stewart,3887.834,-17.532200000000024,5
Bill Tyler,2186.6130000000003,257.9163,6
Bobby Elias,2261.438,755.9150999999999,5
Bobby Odegard,130.83,59.4522,2
Bobby Trafton,603.876,-77.5256,4
